experiment,tag,step,value
DETR-VAD Base,val/loss,212,2.2401111125946045
DETR-VAD Base,val/loss,425,1.8599647283554077
DETR-VAD Base,val/loss,638,1.8074722290039062
DETR-VAD Base,val/loss,851,1.7852963209152222
DETR-VAD Base,val/loss,1064,1.7817143201828003
DETR-VAD Base,val/loss,1277,1.7645845413208008
DETR-VAD Base,val/loss,1490,1.751460075378418
DETR-VAD Base,val/loss,1703,1.744950771331787
DETR-VAD Base,val/loss,1916,1.7483700513839722
DETR-VAD Base,val/loss,2129,1.727920413017273
DETR-VAD Base,val/loss,2342,1.7219605445861816
DETR-VAD Base,val/loss,2555,1.7217988967895508
DETR-VAD Base,val/loss,2768,1.7211467027664185
DETR-VAD Base,val/loss,2981,1.7143712043762207
DETR-VAD Base,val/loss,3194,1.7217978239059448
DETR-VAD Base,val/loss,3407,1.7203329801559448
DETR-VAD Base,val/loss,3620,1.7226115465164185
DETR-VAD Base,val/detection_precision,212,0.10527344048023224
DETR-VAD Base,val/detection_precision,425,0.13604627549648285
DETR-VAD Base,val/detection_precision,638,0.15071412920951843
DETR-VAD Base,val/detection_precision,851,0.15728329122066498
DETR-VAD Base,val/detection_precision,1064,0.1597079634666443
DETR-VAD Base,val/detection_precision,1277,0.16501039266586304
DETR-VAD Base,val/detection_precision,1490,0.1656140387058258
DETR-VAD Base,val/detection_precision,1703,0.16835413873195648
DETR-VAD Base,val/detection_precision,1916,0.1685207039117813
DETR-VAD Base,val/detection_precision,2129,0.17150333523750305
DETR-VAD Base,val/detection_precision,2342,0.17278359830379486
DETR-VAD Base,val/detection_precision,2555,0.17270992696285248
DETR-VAD Base,val/detection_precision,2768,0.17196083068847656
DETR-VAD Base,val/detection_precision,2981,0.17345471680164337
DETR-VAD Base,val/detection_precision,3194,0.17296651005744934
DETR-VAD Base,val/detection_precision,3407,0.17266187071800232
DETR-VAD Base,val/detection_precision,3620,0.17306768894195557
DETR-VAD Base,val/detection_recall,212,0.45639288425445557
DETR-VAD Base,val/detection_recall,425,0.5774767398834229
DETR-VAD Base,val/detection_recall,638,0.5986452102661133
DETR-VAD Base,val/detection_recall,851,0.5961049795150757
DETR-VAD Base,val/detection_recall,1064,0.5927180647850037
DETR-VAD Base,val/detection_recall,1277,0.6045724153518677
DETR-VAD Base,val/detection_recall,1490,0.5994919538497925
DETR-VAD Base,val/detection_recall,1703,0.6054191589355469
DETR-VAD Base,val/detection_recall,1916,0.6028789281845093
DETR-VAD Base,val/detection_recall,2129,0.6104995608329773
DETR-VAD Base,val/detection_recall,2342,0.6138865351676941
DETR-VAD Base,val/detection_recall,2555,0.6130397915840149
DETR-VAD Base,val/detection_recall,2768,0.6096528172492981
DETR-VAD Base,val/detection_recall,2981,0.6130397915840149
DETR-VAD Base,val/detection_recall,3194,0.6121930480003357
DETR-VAD Base,val/detection_recall,3407,0.6096528172492981
DETR-VAD Base,val/detection_recall,3620,0.6104995608329773
DETR-VAD Base,val/detection_f1,212,0.17108364403247833
DETR-VAD Base,val/detection_f1,425,0.22021280229091644
DETR-VAD Base,val/detection_f1,638,0.24080349504947662
DETR-VAD Base,val/detection_f1,851,0.2488948404788971
DETR-VAD Base,val/detection_f1,1064,0.2516171932220459
DETR-VAD Base,val/detection_f1,1277,0.2592589259147644
DETR-VAD Base,val/detection_f1,1490,0.2595304548740387
DETR-VAD Base,val/detection_f1,1703,0.26344844698905945
DETR-VAD Base,val/detection_f1,1916,0.26341068744659424
DETR-VAD Base,val/detection_f1,2129,0.2677805423736572
DETR-VAD Base,val/detection_f1,2342,0.26966676115989685
DETR-VAD Base,val/detection_f1,2555,0.26949527859687805
DETR-VAD Base,val/detection_f1,2768,0.26825597882270813
DETR-VAD Base,val/detection_f1,2981,0.27040114998817444
DETR-VAD Base,val/detection_f1,3194,0.2697254419326782
DETR-VAD Base,val/detection_f1,3407,0.26910823583602905
DETR-VAD Base,val/detection_f1,3620,0.2696835994720459
Encoder-Only Decoder Base,val/loss,425,0.0177001953125
Encoder-Only Decoder Base,val/loss,851,0.01863606832921505
Encoder-Only Decoder Base,val/loss,1277,0.02180989645421505
Encoder-Only Decoder Base,val/loss,1703,0.02718099020421505
Encoder-Only Decoder Base,val/loss,2129,0.0331217460334301
Encoder-Only Decoder Base,val/loss,2555,0.038818359375
Encoder-Only Decoder Base,val/loss,2981,0.0428873710334301
Encoder-Only Decoder Base,val/loss,3407,0.04638671875
Encoder-Only Decoder Base,val/loss,3833,0.048583984375
Encoder-Only Decoder Base,val/loss,4259,0.0502115897834301
Encoder-Only Decoder Base,val/loss,4685,0.0513509102165699
Encoder-Only Decoder Base,val/loss,5111,0.0516764335334301
Encoder-Only Decoder Base,val/loss,5537,0.0511881522834301
Encoder-Only Decoder Base,val/loss,5963,0.051025390625
Encoder-Only Decoder Base,val/loss,6389,0.051025390625
Encoder-Only Decoder Base,val/accuracy,425,0.9227727055549622
Encoder-Only Decoder Base,val/accuracy,851,0.9212427735328674
Encoder-Only Decoder Base,val/accuracy,1277,0.92745041847229
